anime_id,Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
32175,Shounen Maid,7.3,"Comedy, Shoujo, Slice of Life",TV,12,"Apr 8, 2016 to Jul 1, 2016",Spring 2016,"Kadokawa Shoten, TBS, DAX Production, Nippon Columbia, Sony Music Communications, Lawson, NichiNare",Funimation,8bit,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2346,1911,64512,258,4767,35508,2505,4349
32182,Mob Psycho 100,8.49,"Action, Slice of Life, Comedy, Supernatural",TV,12,"Jul 11, 2016 to Sep 27, 2016",Summer 2016,"Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan","Funimation, Crunchyroll",Bones,Web manga,24 min. per ep.,PG-13 - Teens 13 or older,109,40,1255830,27971,68041,942402,26125,19213
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.26,"Sci-Fi, Thriller",Special,1,3-Dec-15,Unknown,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Unknown,White Fox,Visual novel,24 min.,PG-13 - Teens 13 or older,254,837,179364,355,3305,138157,1142,431
32189,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,7.36,"Action, Mystery, Horror, Psychological",TV,12,"Jul 11, 2016 to Sep 26, 2016",Summer 2016,Unknown,Funimation,Lerche,Game,24 min. per ep.,R - 17+ (violence & profanity),2057,572,256160,1757,14385,173405,6488,6302
32190,Omoi no Kakera,6.53,"Slice of Life, Sports",Special,1,24-Mar-16,Unknown,NHK,Unknown,Gaina,Original,24 min.,PG-13 - Teens 13 or older,5720,6343,5307,2,147,3298,61,45
32191,Okitegami Kyouko no Bibouroku x Monogatari,5.78,Supernatural,ONA,1,31-Dec-14,Unknown,Kodansha,Unknown,Shaft,Light novel,45 sec.,PG - Children,8922,5485,7591,5,220,4722,112,119
32195,Junjou Shoujo Et Cetera Specials,6.16,Hentai,Special,2,"Aug 2, 2013 to Oct 4, 2013",Unknown,Pashmina,Unknown,Studio 1st,Manga,4 min. per ep.,Rx - Hentai,,10115,1173,1,116,523,72,72
32202,Kimi ni Maji Kyun!,6.63,"Magic, Music, Romance, School",OVA,1,18-May-16,Unknown,"Broccoli, Pony Canyon",Unknown,Sunrise,Original,6 min.,PG-13 - Teens 13 or older,5263,6986,4135,16,156,1479,57,96
32212,Ensemble Stars!,6.83,"Music, School",TV,24,"Jul 7, 2019 to Dec 22, 2019",Summer 2019,"Frontier Works, Movic, Happy Elements, Bandai Namco Arts",Funimation,David Production,Game,23 min. per ep.,PG-13 - Teens 13 or older,4306,3018,29196,453,3676,5363,1676,2485
32214,Koukaku no Pandora,6.53,"Action, Sci-Fi, Comedy, Ecchi",TV,12,"Jan 8, 2016 to Mar 25, 2016",Winter 2016,"Lantis, Rakuonsha, AT-X, KlockWorx",Funimation,"Studio Gokumi, AXsiZ",Manga,24 min. per ep.,PG-13 - Teens 13 or older,5739,2549,39751,81,3332,16090,2097,5177
